,rank,name,type,matchs_played,score,profile_name,season,player_id,team_name,team_id
62,63.0,Surender Nada,"Defender, left corner",7,14.0,/players/surender-nada,3,146,/teams/u-mumba,5
63,63.0,Mohammad Maghshoudulu,All Rounder,10,14.0,/players/mohammad-maghshoudulu,3,200,/teams/jaipur-pink-panthers,3
64,63.0,Preetam Chhillar,All Rounder,11,14.0,/players/preetam-chhillar,3,167,/teams/bengaluru-bulls,1
65,63.0,Rahul Kumar,"Defender, right cover",11,14.0,/players/rahul-kumar,3,288,/teams/telugu-titans,8
66,67.0,Mahipal Narwal,All Rounder,4,13.0,/players/mahipal-narwal,3,67,/teams/patna-pirates,6
67,67.0,Shabeer Bappu,Raider,10,13.0,/players/shabeer-bappu,3,105,/teams/u-mumba,5
68,69.0,Bhupender Singh,All Rounder,11,12.0,/players/bhupender-singh,3,34,/teams/u-mumba,5
69,69.0,Vikas Kale,"Defender, right cover",9,12.0,/players/vikas-kale,3,179,/teams/telugu-titans,8
70,69.0,Prashanth Kumar Rai,Raider,13,12.0,/players/prashanth-kumar-rai,3,155,/teams/telugu-titans,8
71,69.0,Shyam Kumar Sah,"Defender, left cover",7,12.0,/players/shyam-kumar-sah,3,108,/teams/bengal-warriors,4
72,73.0,Amit Hooda,"Defender, right corner",4,11.0,/players/amit-hooda,3,212,/teams/patna-pirates,6
73,74.0,Nilesh Salunke,Raider,7,10.0,/players/nilesh-salunke,3,293,/teams/puneri-paltan,7
74,74.0,Gangadhari Mallesh,Raider,10,10.0,/players/gangadhari-mallesh,3,44,/teams/jaipur-pink-panthers,3
75,74.0,Shrikant Jadhav,Raider,5,10.0,/players/shrikant-jadhav,3,106,/teams/bengal-warriors,4
76,77.0,Vineet Sharma,Raider,4,9.0,/players/vineet-sharma,3,268,/teams/bengal-warriors,4
77,77.0,Ravi Kumar,"Defender, right cover",12,9.0,/players/ravi-kumar,3,240,/teams/puneri-paltan,7
78,79.0,Yogesh Hooda,Raider,6,8.0,/players/yogesh-hooda,3,245,/teams/puneri-paltan,7
79,79.0,Anil Kashinath Patil,All Rounder,5,8.0,/players/anil-kashinath-patil,3,285,/teams/jaipur-pink-panthers,3
80,79.0,Samarjeet Singh,All Rounder,5,8.0,/players/samarjeet-singh,3,159,/teams/jaipur-pink-panthers,3
81,82.0,Gnanasekaran M,"Defender, right corner",8,7.0,/players/gnanasekaran-m,3,278,/teams/dabang-delhi-kc,2
82,82.0,Virender Wazir Singh,Raider,4,7.0,/players/virender-wazir-singh,3,313,/teams/telugu-titans,8
83,84.0,Sachin Shingade,"Defender, left cover",2,6.0,/players/sachin-shingade,3,165,/teams/puneri-paltan,7
84,84.0,Pawan Kumar Kadian,Raider,5,6.0,/players/pawan-kumar-kadian,3,156,/teams/u-mumba,5
85,84.0,Rajaguru Subramanian,"Defender, right cover",7,6.0,/players/rajaguru-subramanian,3,84,/teams/dabang-delhi-kc,2
86,84.0,Gurvinder Singh,Raider,5,6.0,/players/gurvinder-singh,3,46,/teams/patna-pirates,6
87,88.0,Amit Singh Chhillar,"Defender, left corner",5,5.0,/players/amit-singh-chhillar,3,28,/teams/dabang-delhi-kc,2
88,88.0,Seong Ryeol Kim,Defender,8,5.0,/players/seong-ryeol-kim,3,13,/teams/dabang-delhi-kc,2
89,88.0,Nitin More,"Defender, left cover",10,5.0,/players/nitin-more,3,76,/teams/bengal-warriors,4
90,88.0,Jagdeesha K.K.,"Defender, right corner",7,5.0,/players/jagdeesha-k-k-,3,283,/teams/jaipur-pink-panthers,3
91,92.0,Navneet Gautam,"Defender, left corner",7,4.0,/players/navneet-gautam,3,72,/teams/jaipur-pink-panthers,3
92,92.0,Sunil Jaipal,Raider,2,4.0,/players/sunil-jaipal,3,141,/teams/patna-pirates,6
93,92.0,Deepak Kumar,"Defender, left corner",3,4.0,/players/deepak-kumar,3,184,/teams/bengal-warriors,4
94,95.0,Rakesh Singh Kumar,"Defender, left cover",8,3.0,/players/rakesh-singh-kumar,3,158,/teams/dabang-delhi-kc,2
95,95.0,Prashant Chavan,"Defender, right corner",6,3.0,/players/prashant-chavan,3,147,/teams/puneri-paltan,7
96,95.0,Kuldeep Singh,"Defender, left corner",1,3.0,/players/kuldeep-singh,3,61,/teams/dabang-delhi-kc,2
97,95.0,Sandeep,"Defender, left corner",3,3.0,/players/sandeep,3,299,/teams/patna-pirates,6
